Event,Sport,event_id
"Archery Men's Target Archery, 50 metres, Individual",Archery,536
Athletics Men's 10 mile Walk,Athletics,537
"Athletics Men's Discus Throw, Both Hands",Athletics,538
Golf Men's Team,Golf,539
Cycling Women's Team Sprint,Cycling,540
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Team",Shooting,541
Sailing Mixed 6.5 metres,Sailing,542
Athletics Men's 200 metres Hurdles,Athletics,543
Athletics Men's 56-pound Weight Throw,Athletics,544
"Art Competitions Mixed Music, Unknown Event",Art Competitions,545
Athletics Men's All-Around Championship,Athletics,546
"Archery Men's Pole Archery, Small Birds, Individual",Archery,547
"Archery Men's Pole Archery, Large Birds, Individual",Archery,548
"Archery Men's Pole Archery, Small Birds, Team",Archery,549
"Archery Men's Pole Archery, Large Birds, Team",Archery,550
"Athletics Men's 2,590 metres Steeplechase",Athletics,551
Archery Women's Double Columbia Round,Archery,552
"Athletics Men's 4 mile, Team",Athletics,553
Figure Skating Men's Special Figures,Figure Skating,554
"Shooting Men's Military Rifle, Standing, 300 metres",Shooting,555
Swimming Men's 50 yard Freestyle,Swimming,556
Swimming Men's 100 yard Freestyle,Swimming,557
Swimming Men's 440 yard Freestyle,Swimming,558
"Canoeing Men's Folding Kayak Singles, 10 kilometres",Canoeing,559
"Gymnastics Men's Individual All-Around, 4 Events",Gymnastics,560
Alpinism Mixed Alpinism,Alpinism,561
Athletics Men's Standing Triple Jump,Athletics,562
Motorboating Mixed B-Class (Under 60 Feet),Motorboating,563
Motorboating Mixed C-Class,Motorboating,564
"Art Competitions Mixed Sculpturing, Reliefs",Art Competitions,565
"Fencing Men's Single Sticks, Individual",Fencing,566
Figure Skating Women's Singles,Figure Skating,567
Gymnastics Men's Tumbling,Gymnastics,568
Shooting Men's Unknown Event,Shooting,569
Sailing Mixed 18 foot,Sailing,570
Archery Women's Team Round,Archery,571
"Weightlifting Men's Unlimited, Two Hands",Weightlifting,572
Weightlifting Men's All-Around Dumbbell Contest,Weightlifting,573
"Archery Men's Target Archery, 28 metres, Individual",Archery,574
Aeronautics Mixed Aeronautics,Aeronautics,575
